QRP,Group,Questionable,"Reasoning"
selection of prior: weighting.,Bayesian,Yes,Questions on how to weight if from another location for inference. Post-hoc rationalisation of weighting is a QRP
selection of prior: weighting.,Bayesian,No,
selection of prior: weighting.,Bayesian,Depends,
Selection of prior: checking influence.,Bayesian,Yes,
Selection of prior: checking influence.,Bayesian,No,
Selection of prior: checking influence.,Bayesian,Depends,"Is it often done? Is it reported?, QRP if not reported."
"Selection of prior: are priors measured on the same scale / units of likelihood? If the result is interesting, you might keep the result.",Bayesian,Yes,
"Selection of prior: are priors measured on the same scale / units of likelihood? If the result is interesting, you might keep the result.",Bayesian,No,
"Selection of prior: are priors measured on the same scale / units of likelihood? If the result is interesting, you might keep the result.",Bayesian,Depends,
"MCMC convergence - is it checked thoroughly, is a wide range of initial values used?",Bayesian,Yes,
"MCMC convergence - is it checked thoroughly, is a wide range of initial values used?",Bayesian,No,
"MCMC convergence - is it checked thoroughly, is a wide range of initial values used?",Bayesian,Depends,
Use of a model as source of priors,Bayesian,Yes,
Use of a model as source of priors,Bayesian,No,Consensus that not questionable.
Use of a model as source of priors,Bayesian,Depends,
"Priors, MCMC convergence: will debug if results are unexpected, but might not if results are ""expected"" or ""exciting"".",Bayesian,Yes,
"Priors, MCMC convergence: will debug if results are unexpected, but might not if results are ""expected"" or ""exciting"".",Bayesian,No,
"Priors, MCMC convergence: will debug if results are unexpected, but might not if results are ""expected"" or ""exciting"".",Bayesian,Depends,
Failing to report influence of prior.,Bayesian,Yes,
Failing to report influence of prior.,Bayesian,No,
Failing to report influence of prior.,Bayesian,Depends,"Must be reported, otherwise is QRP."
Model selection: failing to report all models.,Bayesian,Yes,Equivalent to NHST issue of failing to report all covars etc.
Model selection: failing to report all models.,Bayesian,No,
Model selection: failing to report all models.,Bayesian,Depends,
Interpreting credible intervals in NHST framework,Bayesian,Yes,
Interpreting credible intervals in NHST framework,Bayesian,No,
Interpreting credible intervals in NHST framework,Bayesian,Depends,potential P-hacking issues.
HARKing,Bayesian,Yes,This is still an issue with Bayesian methods.
HARKing,Bayesian,No,
HARKing,Bayesian,Depends,
Large computational burden might disuade full / thorough analysis / checking of results if an interesting result appears.,Bayesian,Yes,
Large computational burden might disuade full / thorough analysis / checking of results if an interesting result appears.,Bayesian,No,
Large computational burden might disuade full / thorough analysis / checking of results if an interesting result appears.,Bayesian,Depends,
Combining categories of an independent variable: regrouping post collecting,Multiple models,Yes,
Combining categories of an independent variable: regrouping post collecting,Multiple models,No,
Combining categories of an independent variable: regrouping post collecting,Multiple models,Depends,Done if not enough data per category. Bad if the recategorisation is done to impose fit.
